Trading Day,Month+1,Month+2,Month+3,Month+4,Quarter+1,Quarter+2,Quarter+3,Season+1,Season+2,Season+3,Calendar+1
2020-02-25,22.163,21.5,19.972,,22.05,22.945,30.81,22.5,32.3,33.77,33.014
2020-02-26,21.98,21.5,20.272000000000002,,22.0,22.895,31.8,22.45,33.55,32.85,33.379
2020-02-27,21.29,20.680999999999997,19.346,,21.229,22.022,30.965,21.628,32.253,31.561,32.459
2020-02-28,21.5,19.676,24.901,,22.0,22.95,31.85,22.478,33.6,32.85,32.91
2020-03-02,21.525,21.8,22.788,,22.035,22.989,32.0,22.515,33.703,33.008,32.875
2020-03-03,23.223000000000003,23.489,24.834,,23.845,24.878,34.806999999999995,24.364,36.387,35.655,35.32
2020-03-04,23.5,23.55,24.523000000000003,,23.854,24.35,33.9,24.103,35.65,34.4,35.634
2020-03-05,22.987,22.92,23.885,,23.26,23.648000000000003,33.122,23.455,34.941,33.705,34.986999999999995
2020-03-06,22.339000000000002,22.75,23.2,,22.763,23.648000000000003,33.122,23.208000000000002,32.445,30.379,34.986999999999995
2020-03-09,21.015,20.980999999999998,21.608,,21.199,22.090999999999998,30.549,21.647,30.906999999999996,28.279,33.11
2020-03-10,23.35,23.2,23.656999999999996,,23.4,23.997,32.898,23.7,32.887,30.213,34.606
2020-03-11,23.2,23.05,23.81,,23.35,25.447,33.442,24.404,32.71,30.136999999999997,34.297
2020-03-12,22.774,22.615,23.237,,22.872,24.765,32.417,23.824,31.412,28.998,32.781
2020-03-13,23.2,23.1,23.758000000000003,,23.35,23.947,32.414,23.65,31.761999999999997,33.0,33.288000000000004
2020-03-16,23.35,23.45,23.853,,23.55,23.948,31.784000000000002,23.75,31.162,32.3,32.878
2020-03-17,22.75,22.826999999999998,23.429000000000002,,23.0,23.6,31.95,23.302,33.9,30.826999999999998,32.065
2020-03-18,21.680999999999997,21.651,22.416999999999998,,21.913,22.404,30.769000000000002,22.16,32.024,29.135,30.430999999999997
2020-03-19,22.599,22.371,23.334,,22.764,23.233,31.73,23.0,32.507,29.623,30.595
2020-03-20,22.124000000000002,21.781999999999996,22.910999999999998,,22.267,22.816,30.892,22.543000000000003,32.486,29.475,30.918000000000003
2020-03-23,20.951,20.761,21.61,,21.104,21.733,29.968000000000004,21.42,31.389,28.43,30.671
2020-03-24,21.6,21.1,21.662,,21.45,22.246,30.706999999999997,21.85,32.715,30.8,31.892
2020-03-25,21.245,20.936,21.63,,21.267,22.401,31.365,21.837,33.454,31.551,33.039
2020-03-26,20.506999999999998,20.328,21.037,,20.621,22.072,30.166,21.35,32.536,31.75,32.532
2020-03-27,17.9,18.1,19.908,,18.63,20.905,28.145,19.774,30.947,30.073,31.177
2020-03-30,17.48,17.67,17.899,20.406,19.01,28.166999999999998,30.269000000000002,29.206,28.518,29.15,29.846
2020-03-31,16.6,18.059,20.78,,19.54,28.378,30.451,29.403000000000002,29.55,29.57,30.596
2020-04-01,16.6,17.722,20.244,,19.209,28.127,30.474,29.288,29.269000000000002,29.318,30.236
2020-04-02,17.225,18.477999999999998,21.085,,19.726,29.131,31.145,30.127,30.017,30.041999999999998,30.945999999999998
2020-04-03,16.75,17.75,20.357,,20.283,29.781999999999996,32.150999999999996,30.953000000000003,30.875,37.5,31.659000000000002
2020-04-06,17.33,18.26,21.316999999999997,,21.403000000000002,32.439,34.729,33.571,31.63,39.25,33.009
2020-04-07,17.6,18.4,21.893,,21.885,33.099000000000004,35.478,34.275,31.7,39.3,34.179
2020-04-08,17.067,17.757,21.076,,20.991999999999997,32.42,34.865,33.629,31.105,38.563,33.467
2020-04-09,17.553,18.182000000000002,21.673000000000002,,21.467,32.902,35.711,34.291,31.774,39.457,34.287
